 ,
State,MO
County,Crawford
"Fast-food restaurants, 2007",11
"Fast-food restaurants, 2012",10
"Fast-food restaurants (% change), 2007-12",-9.090909
"Fast-food restaurants/1,000 pop, 2007",0.458696
"Fast-food restaurants/1,000 pop, 2012",0.402706
"Fast-food restaurants/1,000 pop (% change), 2007-12",-12.206391
"Full-service restaurants, 2007",14
"Full-service restaurants, 2012",20
"Full-service restaurants (% change), 2007-12",42.857143
"Full-service restaurants/1,000 pop, 2007",0.583796
"Full-service restaurants/1,000 pop, 2012",0.805412
"Full-service restaurants/1,000 pop (% change), 2007-12",37.961386
"Expenditures per capita, fast food, 2002*",491
"Expenditures per capita, fast food, 2007*",623.520543
"Expenditures per capita, restaurants, 2002*",469
"Expenditures per capita, restaurants, 2007*",617.339007